date,uk,mexico,japan,korea,thailand,switzerland,us
2002-01-02,17.955641151710676,5.943942271632925,19.791883859642237,51.99408326112942,12.228152604704993,20.881106181827416,21.664973291926092
2002-01-03,18.456912620387698,21.95761280558409,19.791883859642237,25.86224311859795,17.85437424937862,12.890344504585164,8.171472227803605
2002-01-04,12.755440622503459,10.922138465392143,19.791883859642237,21.446678391985305,16.41269530581022,11.019224471351713,13.93611000872593
2002-01-07,19.064627074476203,14.299720175094158,16.900705140446224,41.700359650275445,18.717009136908832,17.311077880685705,14.120693797943892
2002-01-08,15.443547449705134,10.420974354450282,17.203246083675612,22.99461819746423,12.864248468333017,12.207484416055516,11.487229274953883
2002-01-09,12.444014899760202,19.866336549323123,14.393731281590394,28.75478001510431,19.55528913703792,13.591479232845483,26.480295394730906
2002-01-10,10.678491423173742,12.222316984029508,25.62790101199004,32.29319454482306,16.70654905154897,10.785307787448213,10.956502385628758
2002-01-11,15.529788492626468,20.681775832530057,13.638630977456545,42.434631920624945,15.395121501009964,13.14525408128309,12.676182632444327
2002-01-14,20.048808586959925,10.46532648462551,12.690573456581822,25.088445211209166,14.94971963203703,14.942793221817862,5.231248736901407
2002-01-15,22.549649407147836,30.34915309086464,10.860348653653041,21.567744217819715,16.581325714505578,13.729769092304558,12.209014601308832
2002-01-16,14.482385582593723,17.54493195189547,23.84425604069248,22.427123332803315,28.56340080452147,16.13444228954051,12.271727649170758
2002-01-17,17.748091792494446,7.384323932742645,24.41844313469134,30.599970927731974,9.508804894968453,13.449650734468143,8.24401430952654
2002-01-18,12.780032340245196,9.424043355478867,13.221066999474912,24.714467939652955,12.536648327593044,11.24583779386264,13.390613393538125
2002-01-21,16.44864196101258,5.990224801406975,30.4398429027649,24.48279619804497,10.54801503911656,9.579205754895508,13.390613393538125
2002-01-22,22.541333862861364,13.965659739940797,24.137562543767224,25.476895739129507,9.975668122771317,22.10468789079117,19.81138195023951
2002-01-23,19.849546673787774,23.126075577973538,15.715687688226671,32.0584644971359,20.142081876616157,13.129631525983655,15.491291258868126
2002-01-24,18.77975815211251,25.195011318001576,31.599038411715302,25.284350468401335,25.85539789170647,12.955769390937256,13.450134351651288
2002-01-25,16.739976783770295,23.68811746501953,18.535109539897014,30.809089649209632,18.08210460129108,13.108529300210275,12.965925022550648
2002-01-28,13.647915206638247,10.749152009186183,19.984426812673874,22.922415089172464,11.734975700575504,10.716454666970739,14.861945090318018
2002-01-29,21.555607323635677,24.84312129036954,12.093964948058636,25.137514232098635,15.150665653617168,13.330179786657315,34.14053913898453
2002-01-30,19.38446181187634,11.284492494084928,13.582127406720351,25.20704562200577,18.72701603968141,18.43312258167933,38.85078552606508
2002-01-31,16.33266728001637,18.994468969836152,15.755468300304148,29.619176871315794,17.31078499309932,12.688943708841075,11.59507350590529
2002-02-01,15.991556814411734,28.022227282326124,31.298063846014085,35.53035983866445,32.044157697996944,12.020813019500563,11.909615976678605
2002-02-04,12.63107250527046,14.313834334130046,15.523131767380011,31.226059069362833,15.784797372479156,8.91660443723536,23.40910475258791
2002-02-05,25.070253643725703,21.86433038086458,28.215074087454354,25.6076042222436,16.160212002467887,20.59818428057188,23.176130098360133
2002-02-06,18.468534945319032,29.54235570832638,25.27367514226409,15.371934114007447,23.365559441257165,20.163241079039743,19.17294988027014
2002-02-07,21.168991999979962,35.84007331942249,22.550166776530116,40.0369928619608,12.364686510770142,19.4967773841031,19.90024176088287
2002-02-08,11.711836234048018,25.999459929880686,27.537065910285474,29.718318329157363,22.617019256576246,15.220706215810221,11.700252018201784
2002-02-11,9.643975563540899,16.668932085349407,22.444194602932487,32.78813553125944,10.311934803958742,11.573394380508477,14.049273779659824
2002-02-12,22.8710541802149,19.23678770630471,17.42681233796278,34.717509838137815,21.152371101466066,17.75500312920986,11.361894555412858
2002-02-13,17.868234497184016,8.63951650404812,23.18091647663227,35.75399537283397,17.02837924060523,19.526710764890396,11.474218629295192
2002-02-14,19.593163554945416,14.506824291529208,29.808400414991826,36.03201441273619,17.37594357123099,14.277286173810017,15.467649787134203
2002-02-15,15.234625631286328,7.376771324526701,16.599217424635196,21.427869222481572,32.99798516128359,11.503749066269874,11.504781381688726
2002-02-18,9.830757148994843,6.134563785687854,17.37457746714634,19.77480278764529,18.958015986546588,5.869016549718161,11.504781381688726
2002-02-19,10.627424394341332,7.7777031100513785,23.58649901124296,25.872326890153918,33.84418913299982,18.680038483315684,16.62022384980622
2002-02-20,14.037940508990854,20.472592484789676,17.13534161496725,19.140634440508748,23.436168923655572,20.931478977158445,26.57279365788319
2002-02-21,16.449149581615035,11.982618133834759,32.56818681298237,30.728857541319034,32.20420894763173,22.336658085579884,20.029652035939506
2002-02-22,15.34840208583303,16.44530762691834,30.668444244248345,22.39510538012789,31.521517635645687,14.638911367853725,23.37775452571354
2002-02-25,10.854474288594037,12.78528651145058,17.93542449788067,25.76274770229502,20.05384666505655,16.42403747950041,19.957629899298883
2002-02-26,12.707777621166308,13.457243532316665,29.200555785993,25.181154584393106,23.61566382401476,18.96529497524725,16.91733975133066
2002-02-27,15.89065181481335,16.92942085261412,21.537629578075137,19.46667986762153,25.917820756441778,15.027070416191341,26.304284591394705
2002-02-28,14.589832440718492,25.883208132726388,27.364484192995757,17.461199632401733,21.845971872491592,22.502438663008583,18.52148727364368
2002-03-01,11.388186601019429,20.98147516524889,30.57475403583414,18.219390388330996,12.351038206392982,10.215447719683885,16.53517639036666
2002-03-04,21.677633719644888,18.201875699230634,33.737170146728296,18.887330616661263,16.27325942186225,13.434378538343775,16.16484031531727
2002-03-05,15.20359964207272,17.91429676210836,24.79365867217741,19.947694786106002,29.104842595687142,19.10102650434378,13.657918389082793
2002-03-06,15.233995120276688,23.749059443875716,35.66395605830983,22.311369604891823,19.512351550095207,10.041563852461605,17.497199673529394
2002-03-07,17.344800606141632,24.997190065419858,19.247817660600155,30.235494199777936,26.12043869533992,11.153767514295406,20.220018601991825
2002-03-08,20.164863432890357,19.680102544569973,41.02780606207809,30.57835308889415,20.43778388713766,14.551600803345147,17.04565414043701
2002-03-11,13.719513403942226,9.097504437143856,30.78746723824875,20.364224841249445,16.528917247582662,7.87648307465712,15.703408254977894
2002-03-12,15.719118172172927,25.67060510037784,25.426874039442943,19.034501838895387,23.736322857362715,11.449402618206936,16.72945901081851
2002-03-13,18.06870235148726,18.897668569939206,41.423029838507205,22.73332735131076,32.98530052960916,19.381096756779126,13.134041696203674
2002-03-14,9.037732205788647,16.497152560650964,25.340837540747614,44.294181672620695,20.547377958517092,11.525814504621918,8.155325325171633
2002-03-15,12.455024855753424,13.735149653501036,20.02142202305436,32.538599366976264,14.129153983629777,10.891574316615888,9.060762420515122
