,philippines,singapore,india,uk,mexico,japan,vietnam,korea,thailand,brazil,malaysia,switzerland,china,us,Directional FROM others
philippines,72.93811020603763,4.0021404695550675,1.8812528986719108,2.8425919159633377,2.3625853798155725,2.66018978884289,1.1313699705616098,3.0353455029628083,3.9601489003657626,0.5270133243969575,1.0877138689445665,1.7466620086110365,0.4124500352187569,1.4124257300520935,27.061889793962365
singapore,0.8881196832437349,76.14068958755209,1.9557404182936826,3.085781375750291,1.2125320287664334,5.714547490367093,0.5665863535261003,3.2544718622346833,0.6271919479506638,0.42062338859050147,2.244877378390025,0.9476900934679103,1.4665238738933062,1.4746245179735,23.85931041244791
india,0.14610593822835247,0.2255580756298242,86.46207341384329,2.1428643237024616,2.0126525538044433,1.451753622658239,0.36735946935677655,2.9867965506493266,0.5158352069320067,0.17686702162796875,0.573263482075864,1.0927164409161265,0.4840607762972711,1.3620931242780587,13.537926586156715
uk,0.17852604053214344,2.789981113753249,0.1278296883457801,58.76131941495578,4.633560741084425,3.062806991208193,0.9981398082430744,2.7436511343793955,0.3246839850349517,0.08036346360998166,1.1559798327886093,15.4265833837955,0.41979635737273596,9.296778044896179,41.23868058504422
mexico,1.235447929552386,0.9240816658559454,0.32658419194288907,0.6252010086686967,82.6088670775369,1.7738194637969713,0.3484561432459248,0.6880443686565012,0.8280252051328991,2.9142335430763677,1.4548645102670996,0.6436995506918783,0.2239714416980221,5.404703899877516,17.3911329224631
japan,0.12884601521277958,0.33593516166259424,0.0073431703596268695,0.26511255894418995,0.2808505067233244,89.3828034094787,1.6702179598793327,4.242718861531478,1.5624670046661795,0.3407519404108386,0.7240098577197015,0.15351694593448184,0.6902617023083227,0.21516490516848463,10.617196590521303
vietnam,0.07391872137420692,0.10508948470617877,0.5186684758020521,0.17093166871856275,0.07240570846862054,0.263968367347032,93.23682077707491,0.9093318631573125,0.4102094476452324,0.8618004260027796,1.7525777344468145,0.2111899935574842,1.266309849741793,0.14677748195702442,6.763179222925089
korea,0.46341326763769447,0.3358465197366891,0.11584706741748288,0.45063369545871435,0.26977380668313833,0.8146687095512359,0.13090458037114516,94.67556358177171,0.14897188360502686,0.6523841427826671,0.41348732350050355,0.300215187809919,0.29072100232323295,0.9375692313508247,5.324436418228288
thailand,1.9113843554014662,0.2462465308375873,0.20156205461970456,0.6226195160691947,1.0334857533947763,0.3828869395819892,0.16322242784973176,0.8002549158999397,93.50224979647942,0.1503090978689502,0.4028389040326643,0.22035195624680276,0.1751908449037097,0.18739690681405732,6.497750203520582
brazil,0.23826531659100234,0.2729645721469597,0.18053755812592992,0.21186180156066797,1.0986537968874877,0.0462889803738199,0.7587270420405826,0.11376091863932442,0.15800833604248302,93.62474196403896,0.5255236097405123,0.47957656317685604,0.09470429265987941,2.196385247975534,6.375258035961039
malaysia,0.2676544889473247,0.688108129009333,0.12501691540065177,0.4329886389323378,0.47509867459057536,0.37669453230690925,0.26543670616408194,0.6100446774044826,0.4563074107635475,0.14521602072125916,94.47104439399607,0.4602095487530513,0.896587030611482,0.3295928323988709,5.528955606003933
switzerland,0.29110460979732156,0.8178596540337858,0.18421760762540867,0.47276473449310247,0.18915890550596862,0.8804735386970639,0.0838955666279157,0.3271209540615065,0.04892937704338654,0.29113744545887166,0.47975734219031657,93.53963751211485,1.5457221018183245,0.8482206505321839,6.460362487885149
china,0.050796782689589974,0.10263179458345838,0.267030007885323,0.6653583892624536,0.14117393808112594,0.19240213670066209,0.2732416612977053,0.4576542766562221,0.5909002551232361,0.483886778049463,0.6528680016584819,0.6177555796868047,95.07455051476656,0.42974988355890914,4.925449485233443
us,0.7701073034608177,1.4009860212500271,1.69509521385717,3.667991372373638,0.7188133219971665,3.5337071018279764,0.7817615838269546,2.4923754892810135,0.3467968095798517,0.19091706137894873,0.3187518305813194,3.029637211954338,0.3614647475949161,80.69159493103587,19.308405068964134
Directional TO others,20.418199341293544,11.611881219687206,5.951201317809094,25.581979585146556,2.8903878066600726,-10.537011072738778,-0.776140050065834,-17.33713495728574,-3.4807255663646544,-0.860245618014531,-6.257558070332536,-18.869441976717027,-3.402314571208322,-4.933077387869105,-94.88993341931729
Total Spillover Index,21.063566672808374,21.063566672808374,21.063566672808374,21.063566672808374,21.063566672808374,21.063566672808374,21.063566672808374,21.063566672808374,21.063566672808374,21.063566672808374,21.063566672808374,21.063566672808374,21.063566672808374,21.063566672808374,21.063566672808374
