,philippines,singapore,india,uk,mexico,japan,vietnam,korea,thailand,brazil,malaysia,switzerland,china,russia,us,Directional FROM others
philippines,62.51443883649215,2.6956200027429382,4.643400934462719,1.4263497680135355,2.6920908273560915,3.636817332371072,1.5251972506265752,4.171939520751456,6.484293710118101,2.655277259050625,2.0407018026349633,2.576640750429328,1.2586578433827644,0.4292273256071262,1.24934683596057,37.48556116350785
singapore,1.2258656196197486,68.65225464422019,2.368466905744594,3.7665448172380245,1.9131268800114436,2.671408767537114,0.5767507798165735,2.465016705779655,3.970137507872118,1.1774728675079607,4.896279069992373,1.564646016823419,0.9005941895001618,2.2153991374384585,1.6360360908981617,31.347745355779807
india,2.6747026818250657,1.3383254731904612,66.49433664590016,4.872612287488225,1.7691483775796866,3.737299476062222,0.46739323612004136,4.218824128937796,7.724473325496869,1.3967792584276972,0.28566859870120814,3.0701274752282943,0.08564927972582308,0.16505274623291122,1.6996070090835318,33.50566335409984
uk,2.2407257757367556,4.226602629572543,2.87460524207354,33.9699129223184,4.240142350353747,6.526676058362331,1.3886099098743254,3.605171063735367,5.861361515825858,3.104718319527155,2.6301274808222126,17.497668207833037,1.5766981512858265,1.190442651825972,9.066537720852914,66.0300870776816
mexico,3.370212915847083,1.6068535665092567,6.938813548838489,2.3553481497538735,63.59378795053495,2.3094501834451995,1.2631710613673586,1.7662008028857166,4.713967864200242,1.7297506098236584,1.982088912039384,2.3390119419172586,0.4951634986729566,0.2969673648937801,5.239211629270791,36.40621204946505
japan,1.0062545888558105,0.145462800747926,2.023753801097747,0.40289331077608187,1.1418974014529755,77.64151911537212,0.9204228152730177,5.881577733955894,2.1146548727344237,1.670256715447621,1.2918906549653606,1.4227329682948808,0.939350675887618,1.0288431456074272,2.3684893995311143,22.35848088462788
vietnam,0.43120592057535617,0.49389791653330994,0.5261485555931357,0.6947909383256349,1.6758061732966862,0.6771329966850618,86.17302117320858,0.9863815722846913,1.5018039744881648,1.4879550384228075,0.7289092652357497,1.20116861546748,1.0798160610244714,0.4575854053223734,1.8843763935365094,13.826978826791418
korea,0.7536735420510443,0.28579730522258473,0.36971112488256713,0.1512490730198362,0.5157652282518768,0.29001380375828645,0.08392923616786643,91.03781198127575,2.4265577666253297,0.866121951716277,0.8932375060100677,0.47936870281976246,1.3726178241347182,0.09171887741481133,0.3824260766492313,8.962188018724248
thailand,7.106575548271077,1.4749349909345575,1.8895576670002376,3.6563295424272604,0.862151603335101,2.157786027101234,0.2675722955674927,3.042946479612573,58.1645002841906,5.48636450786082,4.871507583003936,7.294325596139223,1.896831372722049,0.27419828823297615,1.5544182136008762,41.8354997158094
brazil,1.1094310927506268,1.4816273091632544,1.9916019933703424,1.5223211271511623,1.148374509082267,1.9166219778219529,2.5440352263752795,2.210955731937696,2.0546172461852983,77.31668937408128,1.5070954220024853,2.2699384071715993,0.43477892113519434,0.2295148154851885,2.262396846286369,22.683310625918722
malaysia,0.9813272821466891,0.19116729228052773,0.3344652304403824,0.08959357749908507,0.6462454977478372,0.33417429383423597,0.2145731551468346,0.48878829784083455,0.5506956000618005,0.7783337823575929,93.30928372389809,0.4055278922277707,0.7729651895134455,0.6204016133637281,0.28245757164114016,6.690716276101909
switzerland,2.797253980356334,1.6374963729175982,3.3102617119374815,3.3562722796253204,2.7574206465405777,3.0389117809801953,0.13231872504579523,0.8499377481511958,2.980526808431089,3.3780358249978875,1.7254690263598014,56.36405492334167,3.41315762668771,4.700729860662115,9.558152683965218,43.63594507665833
china,0.1557901046829368,0.2555884240132458,0.42909261120357006,0.7074902173091271,0.2266969345606964,0.5349174535189359,0.30785426497581786,0.11630629336335188,1.090050593732712,0.9250929249475917,0.19994399761171905,0.4864254896581065,93.67968968552027,0.4242818931789423,0.46077911172297786,6.320310314479727
russia,0.19326347533623817,0.6128371928352023,1.0162945335401663,0.2462927349522039,1.1108885230548977,0.2138733989459169,0.0882584466567854,0.05285174643470182,0.3962643737667406,0.3223462887352662,0.3841903181852824,0.2728013227935185,0.37600740370050006,93.87853033558477,0.8352999054778069,6.12146966441523
us,0.5588739746841427,0.3230907881678856,1.2490709654335246,1.7924217532008075,1.4067983596304556,0.6037015050984567,1.6584516036467756,1.6021740217062244,1.1125595855568782,0.13913454958377577,0.3193838544531586,1.1628478543785787,0.13863455889822668,0.16673326385500722,87.76612336170611,12.233876638293893
Directional TO others,12.88040466076896,14.578443290948513,3.5404185284813536,40.98957750090142,14.299658737210677,-6.290304170894331,2.3884408201308815,-22.496883828652898,-1.146465029286233,-2.4343292724880143,-17.0657772159158,1.5927138354760757,-8.420612281791747,-6.169626724705594,-26.245658850183318,-289.44404504235496
Total Spillover Index,32.62960300282364,32.62960300282364,32.62960300282364,32.62960300282364,32.62960300282364,32.62960300282364,32.62960300282364,32.62960300282364,32.62960300282364,32.62960300282364,32.62960300282364,32.62960300282364,32.62960300282364,32.62960300282364,32.62960300282364,32.62960300282364
