,uk,mexico,japan,korea,thailand,switzerland,us
uk,0.0,20.57633607019978,62.09773214891523,36.57556287844346,34.913473794461105,26.908348376262076,-21.78036525639168
mexico,-20.57633607019978,0.0,44.65668305219633,32.022705858673454,32.611280546270045,-13.211515119673376,-62.959679885124864
japan,-62.09773214891523,-44.65668305219633,0.0,-12.7652257051211,-8.139615064284714,-54.9202099058523,-106.32432540712895
korea,-36.57556287844346,-32.022705858673454,12.7652257051211,0.0,-4.617793171225332,-48.74060700935392,-91.71735186070488
thailand,-34.913473794461105,-32.611280546270045,8.139615064284714,4.617793171225332,0.0,-29.355857219465047,-35.274928642136146
switzerland,-26.908348376262076,13.211515119673376,54.9202099058523,48.74060700935392,29.355857219465047,0.0,-29.406022262344294
us,21.78036525639168,62.959679885124864,106.32432540712895,91.71735186070488,35.274928642136146,29.406022262344294,0.0
